Category,bge,minilm,mpnet
ACCOUNTANT,0.8,0.6,1.0
ADVOCATE,0.8,0.2,0.0
AGRICULTURE,0.2,0.6,1.0
APPAREL,0.8,0.6,0.8
ARTS,0.2,0.2,0.2
AUTOMOBILE,0.0,0.2,0.2
AVIATION,0.8,1.0,1.0
BANKING,0.8,1.0,0.8
BPO,0.2,0.4,0.0
BUSINESS-DEVELOPMENT,1.0,1.0,1.0
CHEF,1.0,1.0,1.0
CONSTRUCTION,1.0,1.0,1.0
CONSULTANT,0.6,0.8,1.0
DESIGNER,0.8,1.0,1.0
DIGITAL-MEDIA,0.6,0.8,0.6
ENGINEERING,0.8,0.4,0.6
FINANCE,0.4,0.8,0.8
FITNESS,1.0,1.0,0.8
HEALTHCARE,0.8,0.6,0.2
HR,1.0,0.6,1.0
INFORMATION-TECHNOLOGY,0.8,0.6,0.6
PUBLIC-RELATIONS,1.0,1.0,0.8
SALES,0.0,0.8,0.2
TEACHER,0.6,1.0,0.8
