Category,bge,minilm,mpnet
ACCOUNTANT,0.8,0.8,1.0
ADVOCATE,0.8,0.2,0.0
AGRICULTURE,0.4,0.6,1.0
APPAREL,0.8,0.6,0.6
ARTS,0.2,0.2,0.2
AUTOMOBILE,0.0,0.4,0.4
AVIATION,0.8,1.0,0.8
BANKING,0.8,1.0,1.0
BPO,0.2,0.4,0.0
BUSINESS-DEVELOPMENT,1.0,1.0,1.0
CHEF,1.0,1.0,1.0
CONSTRUCTION,1.0,1.0,1.0
CONSULTANT,0.8,0.6,0.8
DESIGNER,1.0,1.0,1.0
DIGITAL-MEDIA,0.6,0.8,0.8
ENGINEERING,1.0,0.4,0.6
FINANCE,0.4,0.8,0.8
FITNESS,1.0,1.0,0.8
HEALTHCARE,1.0,0.8,0.4
HR,1.0,0.6,1.0
INFORMATION-TECHNOLOGY,1.0,0.8,0.6
PUBLIC-RELATIONS,1.0,1.0,0.8
SALES,0.0,0.8,0.0
TEACHER,0.8,1.0,0.8
